id_record,source,fecha_scrape,placa,marca,modelo,anio,kilometraje,climateSystem,ciudad,transmision,motor,fuelType,traccion,color,motor,transmision,direccion,interiorType,typePago,descripcion,fecha_ingreso,color,motorType,productId,url,json
1976050,patiotuerca,2026-08-20T17:52:40Z,,Ford,F150 DC 4X4,,,Aire Acondicionado,Sangolqui,Automática,3500 CC,Gasolina,4 x 4,Blanco,3500 CC,Automática,ND,Otro,Negociable,,2026-08-20T17:52:40Z,Blanco,ND,1976050,https://ecuador.patiotuerca.com/vehicle/autos-ford-f150-dc-4x4-sangolqui-2018/1976050,"{""id_record"": ""1976050"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Sangolqui"", ""Recorrido"": ""65.000 Millas"", ""Publicación"": ""#1976050"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$39.900 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1976050"", ""Marca"": ""Ford"", ""Modelo"": ""F150 DC 4X4"", ""Subtipo"": ""Camioneta Doble Cabina"", ""Recorrido"": ""65.000 Millas"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 4"", ""Color"": ""Blanco"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Automática"", ""Tapizado"": ""Otro"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""3500 CC""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-ford-f150-dc-4x4-sangolqui-2018/1976050""}"
1942397,patiotuerca,2026-08-20T17:52:40Z,,Ford,F150 LARIAT SC ECOBOOST AC 3.5 CD,,,Aire Acondicionado,Cuenca,Automática,3500 CC,Gasolina,4 x 4,Café,3500 CC,Automática,Hidráulica,Cuero,Fijo,,2026-08-20T17:52:40Z,Café,ECOBOOST,1942397,https://ecuador.patiotuerca.com/vehicle/autos-ford-f150-lariat-sc-ecoboost-ac-3-5-cd-cuenca-2018/1942397,"{""id_record"": ""1942397"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Cuenca"", ""Recorrido"": ""181.500 Kms"", ""Publicación"": ""#1942397"", ""Tipo de pago"": ""Fijo"", ""Precio contado"": ""$50.000 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1942397"", ""Marca"": ""Ford"", ""Modelo"": ""F150 LARIAT SC ECOBOOST AC 3.5 CD"", ""Subtipo"": ""Camioneta Doble Cabina"", ""Recorrido"": ""181.500 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 4"", ""Color"": ""Café"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Automática"", ""Dirección"": ""Hidráulica"", ""Tapizado"": ""Cuero"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""3500 CC"", ""Tipo de motor"": ""ECOBOOST""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-ford-f150-lariat-sc-ecoboost-ac-3-5-cd-cuenca-2018/1942397""}"
1972568,patiotuerca,2026-08-20T17:52:40Z,,Ford,F150 XLT 4X4,,,Climatizador Bi-Zona,Quito,Automática,3340 CC,Gasolina,4 x 4,Plomo,3340 CC,Automática,ND,Tela,Negociable,,2026-08-20T17:52:40Z,Plomo,ND,1972568,https://ecuador.patiotuerca.com/vehicle/autos-ford-f150-xlt-4x4-quito-2018/1972568,"{""id_record"": ""1972568"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Quito"", ""Recorrido"": ""66.283 Kms"", ""Publicación"": ""#1972568"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$39.999 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1972568"", ""Marca"": ""Ford"", ""Modelo"": ""F150 XLT 4X4"", ""Subtipo"": ""Todoterreno"", ""Recorrido"": ""66.283 Kms"", ""Sistema de climatización"": ""Climatizador Bi-Zona"", ""Tracción"": ""4 x 4"", ""Color"": ""Plomo"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Automática"", ""Tapizado"": ""Tela"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""3340 CC""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-ford-f150-xlt-4x4-quito-2018/1972568""}"
1965267,patiotuerca,2026-08-20T17:52:40Z,,Ford,F150 XLT CD,,,ND,Quito,ND,ND,ND,ND,ND,ND,ND,ND,ND,Negociable,,2026-08-20T17:52:40Z,ND,ND,1965267,https://ecuador.patiotuerca.com/vehicle/autos-ford-f150-xlt-cd-quito-2018/1965267,"{""id_record"": ""1965267"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Quito"", ""Recorrido"": ""76.000 Millas"", ""Publicación"": ""#1965267"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$36.900 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1965267"", ""Marca"": ""Ford"", ""Modelo"": ""F150 XLT CD"", ""Subtipo"": ""Camioneta Doble Cabina"", ""Recorrido"": ""76.000 Millas""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-ford-f150-xlt-cd-quito-2018/1965267""}"
1956685,patiotuerca,2026-08-20T17:52:40Z,,Ford,Ranger,,,Aire Acondicionado,Guayaquil,Manual,3200 CC,Diesel,4 x 4,Plomo,3200 CC,Manual,Electrónica,Cuero,Negociable,,2026-08-20T17:52:40Z,Plomo,ND,1956685,https://ecuador.patiotuerca.com/vehicle/autos-ford-ranger-guayaquil-2018/1956685,"{""id_record"": ""1956685"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Guayaquil"", ""Recorrido"": ""232.200 Kms"", ""Publicación"": ""#1956685"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$24.400 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1956685"", ""Marca"": ""Ford"", ""Modelo"": ""Ranger"", ""Subtipo"": ""Todoterreno"", ""Recorrido"": ""232.200 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 4"", ""Color"": ""Plomo"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Manual"", ""Dirección"": ""Electrónica"", ""Tapizado"": ""Cuero"", ""Combustible"": ""Diesel"", ""Cilindraje"": ""3200 CC""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-ford-ranger-guayaquil-2018/1956685""}"
1841438,patiotuerca,2026-08-20T17:52:40Z,,Great Wall,M4,,,Aire Acondicionado,Cuenca,Manual,1500 CC,Gasolina,4 x 2,Plata,1500 CC,Manual,Hidráulica,Cuero,Negociable,,2026-08-20T17:52:40Z,Plata,4 EN Linea,1841438,https://ecuador.patiotuerca.com/vehicle/autos-great-wall-m4-cuenca-2018/1841438,"{""id_record"": ""1841438"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Cuenca"", ""Recorrido"": ""133.523 Kms"", ""Publicación"": ""#1841438"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$11.400 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1841438"", ""Marca"": ""Great Wall"", ""Modelo"": ""M4"", ""Subtipo"": ""Todoterreno"", ""Recorrido"": ""133.523 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 2"", ""Color"": ""Plata"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Manual"", ""Dirección"": ""Hidráulica"", ""Tapizado"": ""Cuero"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""1500 CC"", ""Tipo de motor"": ""4 EN Linea""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-great-wall-m4-cuenca-2018/1841438""}"
1965375,patiotuerca,2026-08-20T17:52:40Z,,Kia,PICANTO LX,,,ND,Cuenca,ND,ND,ND,ND,Crema,ND,ND,ND,ND,Negociable,,2026-08-20T17:52:40Z,Crema,ND,1965375,https://ecuador.patiotuerca.com/vehicle/autos-kia-picanto-lx-cuenca-2018/1965375,"{""id_record"": ""1965375"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Cuenca"", ""Recorrido"": ""122.422 Kms"", ""Publicación"": ""#1965375"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$11.900 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1965375"", ""Marca"": ""Kia"", ""Modelo"": ""PICANTO LX"", ""Subtipo"": ""Hatchback (5 Puertas)"", ""Recorrido"": ""122.422 Kms"", ""Color"": ""Crema""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-kia-picanto-lx-cuenca-2018/1965375""}"
1970788,patiotuerca,2026-08-20T17:52:40Z,,Kia,PICANTO LX,,,Aire Acondicionado,Quito,Manual,1200 CC,Gasolina,4 x 2,Negro,1200 CC,Manual,Asistida,Tela,Negociable,,2026-08-20T17:52:40Z,Negro,ND,1970788,https://ecuador.patiotuerca.com/vehicle/autos-kia-picanto-lx-quito-2018/1970788,"{""id_record"": ""1970788"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Quito"", ""Recorrido"": ""120.000 Kms"", ""Publicación"": ""#1970788"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$11.900 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1970788"", ""Marca"": ""Kia"", ""Modelo"": ""PICANTO LX"", ""Subtipo"": ""Hatchback (5 Puertas)"", ""Recorrido"": ""120.000 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 2"", ""Color"": ""Negro"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Manual"", ""Dirección"": ""Asistida"", ""Tapizado"": ""Tela"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""1200 CC""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-kia-picanto-lx-quito-2018/1970788""}"
1951094,patiotuerca,2026-08-20T17:52:40Z,,Kia,Picanto,,,Aire Acondicionado,Quito,Manual,1200 CC,Gasolina,4 x 2,Plata,1200 CC,Manual,Hidráulica,Tela,Negociable,,2026-08-20T17:52:40Z,Plata,ND,1951094,https://ecuador.patiotuerca.com/vehicle/autos-kia-picanto-quito-2018/1951094,"{""id_record"": ""1951094"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Quito"", ""Recorrido"": ""115.000 Kms"", ""Publicación"": ""#1951094"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$11.600 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1951094"", ""Marca"": ""Kia"", ""Modelo"": ""Picanto"", ""Subtipo"": ""Hatchback (5 Puertas)"", ""Recorrido"": ""115.000 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 2"", ""Color"": ""Plata"", ""Vidrios"": ""Eléctricos delanteros"", ""Transmisión"": ""Manual"", ""Dirección"": ""Hidráulica"", ""Tapizado"": ""Tela"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""1200 CC""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-kia-picanto-quito-2018/1951094""}"
1935961,patiotuerca,2026-08-20T17:52:40Z,,Kia,SPORTAGE SL,,,Aire Acondicionado,Cuenca,Manual,2000 CC,Gasolina,4 x 2,Plomo,2000 CC,Manual,Asistida,Tela,Negociable,,2026-08-20T17:52:40Z,Plomo,2.0,1935961,https://ecuador.patiotuerca.com/vehicle/autos-kia-sportage-sl-cuenca-2018/1935961,"{""id_record"": ""1935961"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Cuenca"", ""Recorrido"": ""78.136 Kms"", ""Publicación"": ""#1935961"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$19.900 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1935961"", ""Marca"": ""Kia"", ""Modelo"": ""SPORTAGE SL"", ""Subtipo"": ""Todoterreno"", ""Recorrido"": ""78.136 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 2"", ""Color"": ""Plomo"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Manual"", ""Dirección"": ""Asistida"", ""Tapizado"": ""Tela"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""2000 CC"", ""Tipo de motor"": ""2.0""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-kia-sportage-sl-cuenca-2018/1935961""}"
